regiao,estado,municipio,codigo_mun,capital,porte,populacao,area,densidade_dem,pib,pib_pc,participacao_transf_receita,servidores,comissionados,comissionados_por_servidor,perc_pop_econ_ativa,taxa_empreendedorismo,anos_estudo_empreendedor,jornada_trabalho,gasto_pc_saude,hab_p_medico,exp_vida,gasto_pc_educacao,exp_anos_estudo,nota_ciencias,nota_humanas,nota_linguagem,nota_mat,nota_redacao,idhm,ranking_igm,indice_governanca
SUDESTE,SP,SAO SEBASTIAO,3550704,0,Médio porte,"84,294",399.68,185,5772025.89,71810.12,53.0,2683.0,237.0,9%,1.14,0.2,7.8576153145432315,42.7948757274836,1364.32,1021.475,77.51,1361.46,10.35,470.5673323823109,537.3276747503563,526.5824383164005,479.28621190130633,501.42235123367203,0.785,11º,0.7140000000000001
SUDESTE,SP,JUNDIAI,3525904,0,Grande porte,"405,740",431.21,858.4,36622896.04,92970.39,57.0,7459.0,480.0,6%,1.1,0.2,10.0952171523123,41.6210933998217,996.33,1163.64035087719,76.94,918.79,10.79,505.22121120819486,562.6683940946065,551.9675030599748,536.2250305997554,574.5899632802938,0.905,12º,0.7120000000000001
SUL,SC,FLOR DO SERTAO,4205357,0,Pequeno porte 1,"1,597",58.74,27,25491.69,15882.67,90.0,84.0,9.0,11%,1.39,0.48,5.553274237275139,43.915122034494,1679.16,1603.0,72.52,1597.23,10.66,467.3428571428572,500.01904761904746,502.5380952380953,507.1476190476189,563.8095238095239,0.632,13º,0.7070000000000001
SUL,SC,CONCORDIA,4204301,0,Médio porte,"73,206",799.45,85.8,2354993.83,32937.44,65.0,1621.0,127.0,8%,1.22,0.27,7.73718406033144,49.169227839097786,837.15,1441.46,77.33,646.46,10.46,492.2129205921942,542.5491251682373,529.4762228260865,512.2961956521737,565.3260869565217,0.852,14º,0.703
SUDESTE,ES,VITORIA,3205309,1,Grande porte,"359,555",96.54,"3,338.30",22289815.47,64001.91,49.0,10031.0,713.0,7%,1.09,0.23,11.0083523281684,40.7888461288955,671.86,768.786026200873,76.28,957.78,10.04,524.30348785872,573.9109713024277,548.7507023411367,550.9904124860675,596.2037904124861,0.959,15º,0.7020000000000001
CENTRO-OESTE,GO,OUVIDOR,5215504,0,Pequeno porte 1,"6,242",413.78,13.2,341868.84,57621.58,68.0,138.0,144.0,104%,1.0,0.2,7.54694741507017,48.3620743862219,1472.92,6038.0,74.81,1506.01,10.49,432.77878787878785,504.0272727272728,501.1272727272727,471.7030303030304,469.09090909090907,0.726,16º,0.7
SUDESTE,SP,SAO PAULO,3550308,1,Grande porte,"12,038,175","1,521.11","7,398.30",570706191.59,48275.45,30.0,134273.0,7240.0,5%,1.07,0.21,9.91759875491019,40.426422080151795,688.02,879.028522870022,76.3,767.4,10.11,488.2213388527516,552.5700295683027,543.1562207121382,509.3401407015858,549.4847373530364,0.8640000000000001,17º,0.6940000000000001
SUDESTE,SP,PIRACICABA,3538709,0,Grande porte,"394,419","1,378.07",264.5,20273704.33,52619.75,54.0,3154.0,215.0,7%,1.06,0.2,9.268783695237358,41.6602871160037,842.92,1091.04494382022,75.88,793.05,10.22,497.33964646464585,558.7106060606076,547.7178308823525,521.6976102941167,559.3676470588234,0.816,18º,0.693
SUL,SC,CORDILHEIRA ALTA,4204350,0,Pequeno porte 1,"4,253",82.86,45.5,189538.17,46880.58,86.0,92.0,47.0,51%,1.23,0.36,6.192538456848179,50.767455669308504,902.17,685.666666666667,76.32,966.7,10.51,456.24659090909097,502.8420454545452,489.0068965517244,453.5839080459768,495.63218390804604,0.726,19º,0.693
SUL,SC,CHAPECO,4204202,0,Grande porte,"209,553",626.06,293.2,6621741.8,33411.42,60.0,2909.0,211.0,7%,1.2,0.21,8.47831323639637,43.1861549064038,991.43,1303.28387096774,77.25,573.46,10.75,486.4244364754096,539.0298668032791,527.4062794348506,510.8332810047091,537.3809523809524,0.828,20º,0.693
SUL,RS,TUPANDI,4322251,0,Pequeno porte 1,"4,421",59.54,65.9,315219.63,74204.24,83.0,211.0,47.0,22%,1.37,0.32,6.078661119013798,48.1070822197655,1051.32,430.9,75.18,1515.19,8.73,489.9115384615384,557.0192307692306,541.564,544.6400000000001,549.6,0.6559999999999999,21º,0.693
SUDESTE,RJ,NITEROI,3303302,0,Grande porte,"497,883",133.92,"3,640.80",19908508.36,40284.31,44.0,8069.0,2313.0,29%,1.04,0.23,11.469114457350399,39.660141494498895,387.87,1182.50596658711,76.23,315.29,9.68,525.7913926106376,583.1410272026003,554.6218858662296,555.1318470034777,639.9161382695847,0.94,22º,0.693
CENTRO-OESTE,GO,CHAPADAO DO CEU,5205471,0,Pequeno porte 1,"8,853","2,185.12",3.2,920448.16,114455.13,69.0,319.0,152.0,48%,1.13,0.17,7.6747265021604,41.4745641838609,1166.68,1039.75,75.2,1435.33,9.45,464.187951807229,511.8903614457832,506.2938271604938,484.9703703703704,480.0,0.7140000000000001,23º,0.691
SUDESTE,SP,SOROCABA,3552205,0,Grande porte,"652,481",450.38,"1,304.20",26908886.58,42764.72,41.0,10260.0,192.0,2%,1.05,0.22,9.328403831445812,40.2415341470677,801.42,1092.94511149228,75.59,737.82,10.59,490.1201276302176,553.7141083132094,544.1887306610394,516.983368495076,554.4411040787624,0.847,24º,0.691
SUL,PR,SANTA HELENA,4123501,0,Pequeno porte 2,"25,665",758.23,30.9,626156.82,25151.91,38.0,530.0,87.0,16%,1.16,0.34,7.52755571160064,41.3558544210612,624.9,1397.72222222222,74.38,1053.08,10.89,476.69247311827934,532.9505376344089,520.7681564245812,485.2474860335197,515.977653631285,0.718,25º,0.69
SUDESTE,RJ,CASIMIRO DE ABREU,3301306,0,Pequeno porte 2,"41,167",460.77,76.7,4068375.98,105694.07,71.0,2010.0,442.0,22%,1.07,0.18,7.245784161262421,43.0894614365436,1575.51,555.12676056338,73.64,1088.23,9.04,475.87994186046524,533.4593023255818,522.0190615835779,484.50997067448645,549.4428152492669,0.675,26º,0.6890000000000001
SUDESTE,SP,BARRETOS,3505500,0,Grande porte,"119,948","1,566.16",71.6,3347124.55,28418.69,54.0,2751.0,104.0,4%,1.08,0.2,9.181348384099847,41.76575877798779,753.99,1058.22321428571,77.5,735.94,10.42,482.1847896440135,537.3188781014029,526.3364731653886,497.4866374589267,541.5772179627602,0.826,27º,0.6890000000000001
SUL,RS,CARLOS BARBOSA,4304804,0,Pequeno porte 2,"27,835",229.99,110.2,1462421.26,54211.94,59.0,418.0,81.0,19%,1.4,0.24,7.80399321419056,45.593352611111705,579.3,1239.95454545455,75.07,694.25,10.97,502.0508474576274,548.5802259887008,537.6929824561404,533.2239766081871,550.7602339181286,0.8420000000000001,28º,0.688
SUDESTE,SP,BURITIZAL,3508207,0,Pequeno porte 1,"4,377",266.42,15.2,251010.66,58661.06,85.0,98.0,24.0,24%,1.05,0.19,7.31473189610289,47.127584832745,1055.21,392.090909090909,74.79,1675.78,10.03,448.5526315789473,518.6210526315791,516.5105263157893,484.10526315789457,530.5263157894736,0.6970000000000001,29º,0.688
CENTRO-OESTE,MS,BATAGUASSU,5001904,0,Pequeno porte 2,"22,084","2,417.60",8.2,492873.37,23312.52,61.0,493.0,39.0,8%,1.05,0.19,7.00806216474138,43.6652679647443,664.85,1788.58333333333,75.8,745.24,9.82,455.6831395348839,506.3936046511628,496.9720238095237,457.5017857142855,493.095238095238,0.637,30º,0.685
SUL,RS,PORTO ALEGRE,4314902,1,Grande porte,"1,481,019",496.68,"2,837.50",57379336.78,39091.64,39.0,16913.0,913.0,5%,1.1,0.24,10.8898895006198,41.10339252361621,960.72,1073.23760932945,76.42,567.35,9.76,502.85206323953275,565.2963309137898,548.6309179727249,529.1697130063117,572.7996132709138,0.8640000000000001,31º,0.684
SUL,RS,BENTO GONCALVES,4302105,0,Grande porte,"114,203",274.07,280.9,4737042.85,42528.93,57.0,1950.0,145.0,7%,1.23,0.23,9.02956566187577,44.66835014944961,726.2,863.984615384615,75.52,654.74,10.02,508.96629766297684,562.4628536285363,546.9421508034611,534.9032138442525,589.7898640296662,0.8,32º,0.679
SUDESTE,SP,GAVIAO PEIXOTO,3516853,0,Pequeno porte 1,"4,714",243.77,18.1,99960.71,21566.5,76.0,235.0,31.0,13%,1.08,0.08,8.42822926922512,43.110012512767,1500.01,310.8,73.14,1306.09,10.91,450.4757575757576,516.860606060606,500.9121212121212,453.039393939394,466.66666666666674,0.659,33º,0.6779999999999999
SUL,RS,GARIBALDI,4308607,0,Pequeno porte 2,"33,384",168.14,181.3,1458893.15,44781.54,56.0,536.0,47.0,9%,1.27,0.27,8.82130928309552,44.1538148988099,511.34,2738.5,76.35,650.25,10.42,492.58447204968917,541.9937888198756,527.8068750000003,521.9137499999998,580.0,0.8190000000000001,34º,0.6779999999999999
SUDESTE,SP,BOTUCATU,3507506,0,Grande porte,"141,032","1,482.64",85.9,3789753.72,27810.83,66.0,2216.0,106.0,5%,1.02,0.2,9.306611198046893,41.8082408599571,476.96,1139.66115702479,77.13,658.13,10.45,513.3044806517312,562.9226069246439,548.9671175858484,531.6845993756497,589.0270551508845,0.852,35º,0.675
SUDESTE,MG,EXTREMA,3125101,0,Pequeno porte 2,"33,729",244.59,116.9,4064082.72,128232.82,80.0,483.0,70.0,14%,1.13,0.17,7.644091260936309,44.4878586425152,802.76,437.864864864865,75.95,929.16,9.59,498.39073170731695,551.558536585366,545.5225,526.1635000000003,556.1,0.69,36º,0.675
SUL,SC,SANTIAGO DO SUL,4215695,0,Pequeno porte 1,"1,341",73.84,19.8,40734.39,28807.91,84.0,68.0,28.0,41%,1.13,0.57,5.3764523256295895,45.978962565553395,1595.49,,73.68,1458.61,10.91,454.29375,494.05624999999986,510.55,496.21249999999986,523.75,0.68,37º,0.674
SUL,SC,TREZE TILIAS,4218509,0,Pequeno porte 1,"7,392",186.64,34,336129.48,48538.55,82.0,139.0,34.0,24%,1.21,0.33,7.59636340207814,50.0204840616813,689.37,,77.43,997.07,10.44,470.2457142857143,513.4742857142859,507.67941176470566,481.2352941176472,510.0,0.84,38º,0.674
SUDESTE,MG,BELO HORIZONTE,3106200,1,Grande porte,"2,513,451",331.4,"7,167.00",81426708.27,32844.41,46.0,33803.0,1593.0,5%,1.12,0.22,9.96990556418702,40.1974194322201,956.68,874.073333333333,76.37,500.67,9.87,515.3694953253192,567.1694476245003,548.9859597328434,546.8772868066964,592.4586196883167,0.8759999999999999,39º,0.6729999999999999
SUL,SC,POMERODE,4213203,0,Pequeno porte 2,"31,760",214.73,129.3,1471934.62,49049.77,62.0,771.0,68.0,9%,1.25,0.13,8.03278469254108,42.9569742898349,621.76,1390.81818181818,78.14,811.32,10.62,496.2690476190478,551.6607142857143,538.1293413173655,521.4772455089818,585.6287425149701,0.804,40º,0.6729999999999999
SUDESTE,SP,SAO JOSE DO RIO PRETO,3549805,0,Grande porte,"446,649",431.94,945.1,13259377.15,30548.82,44.0,4638.0,255.0,5%,1.13,0.25,9.579305510671393,41.750249381294395,611.69,822.427767354597,75.74,643.01,10.06,512.2878119935168,564.6078119935166,552.6514447027571,536.2523414148126,595.1012952507472,0.845,41º,0.672
SUL,SC,BLUMENAU,4202404,0,Grande porte,"343,715",518.5,596,12893271.08,39179.51,50.0,6091.0,250.0,4%,1.21,0.21,9.337930217699279,43.554284650053994,829.61,1109.64119601329,78.64,659.4,9.97,502.580393799749,560.5779220779224,544.9647761194032,531.4462686567166,570.0550106609808,0.866,42º,0.672
SUL,SC,ALTO BELA VISTA,4200754,0,Pequeno porte 1,"1,977",103.98,19.3,40084.98,19972.58,87.0,125.0,28.0,22%,1.27,0.43,5.87726001455287,53.0454566232804,1510.29,998.5,77.93,1505.57,10.72,494.6764705882353,540.7352941176471,523.78,511.9666666666666,565.3333333333334,0.745,43º,0.672
SUL,SC,CRICIUMA,4204608,0,Grande porte,"209,153",235.7,815.9,5569297.84,27516.97,63.0,1942.0,428.0,22%,1.13,0.21,9.398296465818241,41.932468805024904,926.13,772.328301886792,75.76,663.72,10.49,501.3282817502678,559.0275346851656,546.0398696360674,535.371971754481,572.8267246061922,0.823,44º,0.669
SUL,RS,XANGRI-LA,4323804,0,Pequeno porte 1,"14,430",60.69,204.9,308730.44,22553.18,33.0,659.0,70.0,11%,1.09,0.34,6.8042896509262,43.7531691802071,1240.12,516.703703703704,76.11,1695.18,9.24,467.9085106382978,528.6829787234043,514.1444444444444,472.33333333333326,519.1111111111112,0.6970000000000001,45º,0.669
SUDESTE,SP,JAU,3525300,0,Grande porte,"144,828",687.1,191.1,3317902.52,23686.28,66.0,2911.0,205.0,7%,1.14,0.2,8.935925712958529,42.2353216783781,777.06,1288.20909090909,78.13,599.08,10.3,501.6441729323314,556.4729323308275,547.1611641221364,525.3793893129772,565.4580152671756,0.8,46º,0.6679999999999999
SUL,RS,NOVA BOA VISTA,4312955,0,Pequeno porte 1,"1,942",94.24,20.8,58840.57,29747.51,75.0,103.0,16.0,16%,1.26,0.47,6.579169340454791,53.7987142614727,1146.69,1965.0,75.13,1332.18,10.87,481.6903225806452,540.5354838709677,513.0935483870968,495.7677419354839,574.8387096774194,0.7759999999999999,47º,0.6679999999999999
SUDESTE,SP,JAGUARIUNA,3524709,0,Médio porte,"53,069",141.39,313.4,6163747.61,124527.7,65.0,1674.0,74.0,4%,1.12,0.19,8.886760763973939,41.7495420453532,1358.42,1950.73076923077,76.74,1248.42,10.44,486.36222826086953,550.0048913043477,540.5231404958679,511.84848484848516,540.8264462809917,0.8140000000000001,48º,0.6679999999999999
SUL,SC,JARAGUA DO SUL,4208906,0,Grande porte,"167,300",529.45,270.3,7846725.03,50132.73,55.0,3744.0,156.0,4%,1.24,0.17,8.93761071037951,43.328231406403,815.02,1685.71578947368,76.92,741.17,10.5,501.9730769230768,552.2027823240593,540.9037313432834,527.0344941956877,566.2686567164178,0.8590000000000001,49º,0.6679999999999999
SUL,SC,TIJUCAS,4218004,0,Pequeno porte 2,"36,170",279.58,110.7,1202944.6,35540.66,58.0,724.0,110.0,15%,1.04,0.23,7.96896576072384,43.35514842932511,525.43,935.891891891892,77.39,615.23,9.73,481.0875862068965,538.9782758620688,529.7100346020761,495.3608996539792,561.3148788927335,0.757,50º,0.667
SUL,SC,AGROLANDIA,4200200,0,Pequeno porte 1,"10,427",207.55,44.9,219690.01,22063.88,72.0,231.0,20.0,9%,1.23,0.28,6.46096741206045,45.366650907440004,482.76,1445.0,74.63,718.62,10.65,473.99178082191804,530.5315068493151,508.6319444444442,496.42083333333335,560.2777777777778,0.6729999999999999,51º,0.667
SUL,RS,VERANOPOLIS,4322806,0,Pequeno porte 2,"24,885",289.43,78.8,869334.31,35845.88,67.0,494.0,50.0,10%,1.21,0.29,8.46293672302001,47.987550314439495,671.68,1439.76470588235,75.29,668.94,11.94,517.13220338983,557.4971751412429,541.4661016949152,533.7785310734458,612.6553672316384,0.7879999999999999,52º,0.667
SUL,SC,ITA,4208005,0,Pequeno porte 1,"6,311",165.87,38.8,152370.79,23733.77,87.0,243.0,33.0,14%,1.22,0.38,6.11872614501058,50.7407734368552,1080.87,1595.75,77.73,1262.15,11.12,486.0890625,530.7140625,513.1841269841269,502.6603174603175,534.6031746031746,0.7829999999999999,53º,0.667
SUL,SC,IMBUIA,4207403,0,Pequeno porte 1,"6,087",123.04,46.4,114084.15,19186.71,86.0,235.0,9.0,4%,1.14,0.47,5.65156002201249,47.360791860938996,767.55,,75.38,719.4,9.49,453.746153846154,501.0820512820514,491.9052631578948,482.6131578947368,529.4736842105264,0.644,54º,0.667
SUDESTE,SP,HOLAMBRA,3519055,0,Pequeno porte 1,"13,698",65.58,172.3,603033.28,47456.78,57.0,526.0,41.0,8%,1.2,0.2,10.3147214833853,44.7971978835948,803.49,724.777777777778,77.66,1320.04,10.44,516.738,555.3419999999999,538.4602040816327,532.5469387755101,572.4489795918367,0.835,55º,0.6659999999999999
SUL,SC,AGRONOMICA,4200309,0,Pequeno porte 1,"5,371",129.92,37.6,118681.27,22946.88,78.0,128.0,19.0,15%,1.25,0.49,5.408080026426459,48.7860162261671,559.14,,78.06,780.16,8.5,472.64838709677423,524.2290322580645,499.93225806451625,481.63225806451624,517.4193548387096,0.711,56º,0.665
SUL,PR,MERCEDES,4115853,0,Pequeno porte 1,"5,437",200.86,25.1,147216.55,27693.11,64.0,235.0,29.0,12%,1.19,0.39,6.683429814553912,51.09072968089539,989.94,535.7,75.57,925.88,11.85,491.6227272727272,553.7727272727271,535.0590909090911,518.4068181818178,570.9090909090909,0.7090000000000001,57º,0.665
SUDESTE,SP,SANTANA DA PONTE PENSA,3547205,0,Pequeno porte 1,"1,573",129.89,12.6,23338.51,14326.89,90.0,87.0,51.0,59%,1.08,0.29,7.73358475351309,51.682447081055,1645.61,322.0,75.41,1163.41,12.53,456.72,538.96,544.58,506.24,524.0,0.7879999999999999,58º,0.6629999999999999
CENTRO-OESTE,MS,COSTA RICA,5003256,0,Pequeno porte 1,"19,835","4,164.12",3.7,1054679.58,55995.73,73.0,426.0,258.0,61%,1.09,0.2,7.09702269966304,45.8927187016228,933.86,,73.64,928.15,9.04,452.39050632911415,505.30189873417686,506.1329032258062,470.8038709677418,464.77419354838713,0.628,59º,0.6629999999999999
SUL,RS,DOIS IRMAOS,4306403,0,Pequeno porte 2,"30,472",65.16,423.2,1323496.12,44821.73,62.0,665.0,29.0,4%,1.31,0.16,8.60759586845,44.5790283721537,650.2,1659.0,75.87,807.84,9.57,474.813812154696,526.264640883978,521.8348571428572,507.5005714285714,549.3714285714286,0.716,60º,0.662
SUL,RS,MATO QUEIMADO,4312179,0,Pequeno porte 1,"1,789",113.99,15.7,47141.86,25916.36,91.0,88.0,12.0,14%,0.94,0.56,6.01307708844953,38.1320755444356,1285.02,904.0,77.22,1409.05,9.9,474.73333333333335,498.875,510.44166666666666,469.89166666666665,545.0,0.654,61º,0.662
SUL,PR,CURITIBA,4106902,1,Grande porte,"1,893,997",435.04,"4,027.00",79383343.18,42934.38,39.0,34748.0,544.0,2%,1.14,0.24,10.352861279002802,41.510602825592706,749.97,937.835010060362,76.3,591.63,10.95,508.6931292517024,562.6075170068035,547.1587029337063,536.4334892584899,577.1914414414415,0.907,62º,0.662
SUDESTE,MG,JUIZ DE FORA,3136702,0,Grande porte,"559,636","1,435.75",359.6,13279245.25,24323.55,54.0,6704.0,713.0,11%,1.04,0.23,9.62869156881208,41.424666616645105,840.82,876.926751592357,75.65,467.04,9.91,517.1426327944563,571.5432101616648,550.2546812981544,543.5837030119068,614.3957506420733,0.8,63º,0.6609999999999999
SUL,RS,CAMPO BOM,4303905,0,Médio porte,"64,553",60.51,992.8,2168912.24,34242.92,55.0,1694.0,227.0,13%,1.18,0.19,8.04305507431238,44.1494736858702,739.09,850.226666666667,76.11,785.23,9.57,465.1672922252017,543.7490616621982,526.5748633879781,492.15300546448026,549.016393442623,0.721,64º,0.6609999999999999
SUL,SC,ERMO,4205191,0,Pequeno porte 1,"2,077",63.44,32.3,53739.83,25824.04,84.0,80.0,26.0,33%,1.2,0.35,5.980533251288049,50.669537489521,1445.53,,73.5,1412.27,10.88,471.085,548.105,513.2105263157894,454.2,556.8421052631579,0.675,65º,0.6609999999999999
SUL,SC,BRUSQUE,4202909,0,Grande porte,"125,810",283.22,372.5,4391278.2,37650.07,58.0,2060.0,139.0,7%,1.23,0.21,8.57336214015875,42.8412732953405,583.91,2302.28846153846,78.64,553.16,10.18,491.54172099087316,549.1465449804426,535.763636363635,513.5911764705878,555.9358288770053,0.84,66º,0.66
SUDESTE,RJ,ANGRA DOS REIS,3300100,0,Grande porte,"191,504",825.08,205.5,6116002.0,33699.58,65.0,5384.0,591.0,11%,0.98,0.17,7.645664786032518,40.6128947216733,1271.75,,75.75,724.05,9.0,483.3764336917567,544.6104838709674,528.1035358114233,492.20199456029036,549.1296464188576,0.6709999999999999,67º,0.66
NORDESTE,PE,IPOJUCA,2607208,0,Médio porte,"92,965",527.11,153,8411558.28,95666.34,67.0,2662.0,1907.0,72%,0.82,0.16,6.3463111441528,43.8268980122064,1208.11,521.279069767442,71.44,1779.61,8.65,463.4582781456952,505.1821192052978,503.0766292134829,449.23775280898855,480.9887640449438,0.42,68º,0.659
CENTRO-OESTE,MT,LUCAS DO RIO VERDE,5105259,0,Médio porte,"59,436","3,663.99",12.4,2416420.19,45728.29,57.0,1345.0,101.0,8%,1.14,0.2,8.30385048273485,44.32014103428761,697.28,2754.7,74.96,702.28,10.21,484.034851485149,540.0970297029703,522.6039761431408,502.01053677932464,520.4970178926442,0.7759999999999999,69º,0.659
SUL,SC,PORTO BELO,4213500,0,Pequeno porte 1,"19,744",92.41,171.8,739148.37,40913.78,54.0,500.0,79.0,16%,1.07,0.32,7.74803819312932,42.8142092546722,521.24,980.526315789474,78.14,934.33,9.91,490.29872611464964,547.8101910828027,533.7961290322582,498.6174193548388,564.0,0.757,70º,0.6579999999999999
SUL,SC,ITAJAI,4208203,0,Grande porte,"208,958",288.29,636.1,15375830.48,77730.69,52.0,4255.0,474.0,11%,1.13,0.24,8.91972584276648,42.80338077406,1037.6,832.880165289256,78.02,820.15,10.3,488.4858383433532,549.1853039412158,538.1571428571424,515.8398104265409,570.3249830737982,0.84,71º,0.6579999999999999
SUL,RS,ENTRE RIOS DO SUL,4306957,0,Pequeno porte 1,"3,052",120.07,25.7,221981.01,71422.46,84.0,169.0,17.0,10%,1.08,0.38,5.203389279437388,53.97034454543979,1399.07,,76.4,1250.2,10.85,474.2125,521.3458333333333,518.5416666666666,498.17083333333335,515.8333333333334,0.621,72º,0.6579999999999999
SUL,SC,QUILOMBO,4214201,0,Pequeno porte 1,"10,096",280.26,36.6,452057.0,44081.62,79.0,307.0,32.0,10%,1.26,0.4,5.90369424316171,40.1878975945294,879.09,2040.2,74.93,680.91,9.76,462.0,509.8234234234233,503.6513513513514,464.74774774774767,525.2252252252252,0.685,73º,0.657
SUL,SC,TIMBO,4218202,0,Pequeno porte 2,"42,045",127.41,288.6,1394682.93,35095.19,52.0,778.0,57.0,7%,1.23,0.19,8.44016990350255,45.21382430936421,549.32,900.333333333333,76.36,570.23,9.19,491.9194528875384,548.2085106382975,536.9111801242232,516.3686335403727,533.4782608695652,0.8140000000000001,74º,0.657
SUDESTE,RJ,MARICA,3302700,0,Grande porte,"149,876",362.57,351.6,7191559.31,51533.19,76.0,2721.0,2259.0,83%,0.97,0.28,8.723085661552071,41.6019634849689,631.77,894.44375,75.99,691.94,9.03,487.5252747252748,549.2081318681318,531.8027777777781,497.0483333333336,559.4888888888888,0.768,75º,0.657
SUDESTE,SP,AGUAS DE SANTA BARBARA,3500550,0,Pequeno porte 1,"5,977",404.46,13.8,113905.94,19384.95,67.0,282.0,78.0,28%,0.96,0.17,8.0466916906976,46.31366412770989,930.3,,75.41,1215.69,9.17,457.36999999999983,502.59333333333336,507.9517241379309,469.3448275862069,505.5172413793104,0.7490000000000001,76º,0.6559999999999999
SUDESTE,SP,VALINHOS,3556206,0,Grande porte,"122,163",148.54,718.7,4970626.95,42736.76,51.0,2617.0,274.0,10%,1.14,0.2,9.90600530817235,40.754521344157,777.77,730.320987654321,76.01,757.75,10.35,535.2612781954887,582.8187030075193,571.6595033428849,577.5288443170969,612.4737344794653,0.897,77º,0.6559999999999999
NORDESTE,CE,FORTALEZA,2304400,1,Grande porte,"2,609,716",314.93,"7,786.40",49745920.35,19494.4,53.0,27093.0,2201.0,8%,1.0,0.22,8.57993772212759,39.9163162393883,620.43,,74.41,382.8,10.04,492.41684319759116,542.7629463966232,525.1447422905102,500.9622861501554,574.6798518034218,0.742,78º,0.6559999999999999
CENTRO-OESTE,GO,RIO VERDE,5218805,0,Grande porte,"212,237","8,379.66",21.1,7199948.77,36539.06,57.0,3991.0,2294.0,57%,1.1,0.22,8.27431068136363,44.2136185231831,643.57,1203.69642857143,76.17,1120.33,9.62,481.1820853743875,527.3165150454859,523.5476835352821,498.5168210976478,542.024233784747,0.742,79º,0.6559999999999999
